"acerto_acaso_item","dificuldade_item","discriminacao_item","questao"
"Q1",0.178125793643019,2.40169192884817,4.19240148565696,1
"Q2",0.205822445537529,1.63535352090503,2.11096841790719,2
"Q3",0.104025450026399,2.17276337850418,2.26675947905843,3
"Q4",0.164888584253059,1.59055100729841,1.13403657878108,4
"Q5",0.118617605188854,1.51195225912482,2.89467882481883,5
"Q6",0.137957507662688,0.527901624169952,1.21317532242829,6
"Q7",0.156505643919307,1.90434076470829,3.81566599754775,7
"Q8",0.0635966013480063,1.14623695514212,2.36249061431372,8
"Q9",0.216897148749227,-0.0291979879937118,1.45563351135413,9
"Q10",0.0171001261448501,6.98432518311136,0.232271313650845,10
"Q11",0.109056015763688,0.384756366343335,1.5322348068757,11
"Q12",0.0665871294174351,2.44513312462695,4.50738854436369,12
"Q13",0.227099916434726,2.39027502398897,3.81481306400179,13
"Q14",0.203256177893793,1.48977711444304,2.68397104543334,14
"Q15",0.200910737821618,2.22412351717757,0.995144046450408,15
"Q16",0.143725864439473,2.46528656311635,2.84852842247684,16
"Q17",0.00738050353064751,4.80940824938566,0.217034033503151,17
"Q18",0.12436440889108,2.0959117242472,0.810082355419696,18
"Q19",0.000449221581167809,2.63116833749807,0.461966362285823,19
"Q20",0.115700558317047,2.57450161383754,3.41595085892808,20
"Q21",0.0163856351952102,5.59472924106189,0.226217652589018,21
"Q22",0.162204989724249,189.669607856402,0.0127392252555544,22
"Q23",0.179822839488728,2.26318174290537,0.819123261257763,23
"Q24",0.171279481824474,2.40859498167174,1.17333421216002,24
"Q25",0.236198995550359,2.76134944818786,6.06796930502735,25
"Q26",0.178308396502189,-3.27026590980245,-1.95114557313448,26
"Q27",0.0668280051310984,-6.91162892218753,-0.508243535862607,27
"Q28",0.172956264570321,2.98554188522919,0.738183615300385,28
"Q29",0.248239279330923,0.441133812136368,1.66267708040603,29
"Q30",0.0906084398909433,1.09621822080756,0.691681388912855,30
"Q31",0.202153984461918,0.994198039592953,1.35923012705792,31
"Q32",0.198270478792992,3.15659085330354,0.621080587403169,32
"Q33",0.156111756709016,0.472885781593471,2.48187113845788,33
"Q34",0.136267129972224,2.47461609404846,4.19240283959731,34
"Q35",0.247250697972887,2.22387970213261,2.58456632832192,35
"Q36",0.0839713132634752,20.2865676555988,0.0736203485107152,36
"Q37",0.193445060545412,2.3580148385725,2.89659105615695,37
"Q38",0.267238800361865,2.15489873738496,3.6809079654512,38
"Q39",0.0223628130806276,13.9840256962267,0.140845832381611,39
"Q41",0.215325180538532,2.33190703139,4.25021551783176,41
"Q42",0.20232489411328,2.81143292997346,3.18622084389564,42
"Q43",0.194933410149726,2.14906671630166,1.37715169848441,43
"Q44",0.254916919951721,2.30101947892859,4.89347423641845,44
"Q45",0.19555207927908,1.52621763206853,2.44859888039835,45
