SG_AREA,CO_COMPETENCIA,CO_HABILIDADE,INF_HABILIDADE
LC,1,1,"H1 - Identificar as diferentes linguagens e seus recursos expressivos como elementos de caracterização dos sistemas de comunicação."
LC,1,2,"H2 - Recorrer aos conhecimentos sobre as linguagens dos sistemas de comunicação e informação para resolver problemas sociais."
LC,1,3,"H3 - Relacionar informações geradas nos sistemas de comunicação e informação, considerando a função social desses sistemas."
LC,1,4,"H4 - Reconhecer posições críticas aos usos sociais que são feitos das linguagens e dos sistemas de comunicação e informação."
LC,2,5,"H5 – Associar vocábulos e expressões de um texto em LEM ao seu tema."
LC,2,6,"H6 - Utilizar os conhecimentos da LEM e de seus mecanismos como meio de ampliar as possibilidades de acesso a informações, tecnologias e culturas."
LC,2,7,"H7 – Relacionar um texto em LEM, as estruturas linguísticas, sua função e seu uso social."
LC,2,8,"H8 - Reconhecer a importância da produção cultural em LEM como representação da diversidade cultural e linguística."
LC,3,9,"H9 - Reconhecer as manifestações corporais de movimento como originárias de necessidades cotidianas de um grupo social."
LC,3,10,"H10 - Reconhecer a necessidade de transformação de hábitos corporais em função das necessidades cinestésicas."
LC,3,11,"H11 - Reconhecer a linguagem corporal como meio de interação social, considerando os limites de desempenho e as alternativas de adaptação para diferentes indivíduos."
LC,4,12,"H12 - Reconhecer diferentes funções da arte, do trabalho da produção dos artistas em seus meios culturais."
LC,4,13,"H13 - Analisar as diversas produções artísticas como meio de explicar diferentes culturas, padrões de beleza e preconceitos."
LC,4,14,"H14 - Reconhecer o valor da diversidade artística e das inter-relações de elementos que se apresentam nas manifestações de vários grupos sociais e étnicos."
LC,5,15,"H15 - Estabelecer relações entre o texto literário e o momento de sua produção, situando aspectos do contexto histórico, social e político."
LC,5,16,"H16 - Relacionar informações sobre concepções artísticas e procedimentos de construção do texto literário."
LC,5,17,"H17 - Reconhecer a presença de valores sociais e humanos atualizáveis e permanentes no patrimônio literário nacional."
LC,6,18,"H18 - Identificar os elementos que concorrem para a progressão temática e para a organização e estruturação de textos de diferentes gêneros e tipos."
LC,6,19,"H19 - Analisar a função da linguagem predominante nos textos em situações específicas de interlocução."
LC,6,20,"H20 - Reconhecer a importância do patrimônio linguístico para a preservação da memória e da identidade nacional."
LC,7,21,"H21 - Reconhecer em textos de diferentes gêneros, recursos verbais e não-verbais utilizados com a finalidade de criar e mudar comportamentos e hábitos."
LC,7,22,"H22 - Relacionar, em diferentes textos, opiniões, temas, assuntos e recursos linguísticos."
LC,7,23,"H23 - Inferir em um texto quais são os objetivos de seu produtor e quem é seu público alvo, pela análise dos procedimentos argumentativos utilizados."
LC,7,24,"H24 - Reconhecer no texto estratégias argumentativas empregadas para o convencimento do público, tais como a intimidação, sedução, comoção, chantagem, entre outras."
LC,8,25,"H25 - Identificar, em textos de diferentes gêneros, as marcas linguísticas que singularizam as variedades linguísticas sociais, regionais e de registro."
LC,8,26,"H26 - Relacionar as variedades linguísticas a situações específicas de uso social."
LC,8,27,"H27 - Reconhecer os usos da norma padrão da língua portuguesa nas diferentes situações de comunicação."
LC,9,28,"H28 - Reconhecer a função e o impacto social das diferentes tecnologias da comunicação e informação."
LC,9,29,"H29 - Identificar pela análise de suas linguagens, as tecnologias da comunicação e informação."
LC,9,30,"H30 - Relacionar as tecnologias de comunicação e informação ao desenvolvimento das sociedades e ao conhecimento que elas produzem."
MT,1,1,"H1 - Reconhecer, no contexto social, diferentes significados e representações dos números e operações - naturais, inteiros, racionais ou reais."
MT,1,2,"H2 - Identificar padrões numéricos ou princípios de contagem."
MT,1,3,"H3 - Resolver situação-problema envolvendo conhecimentos numéricos."
MT,1,4,"H4 - Avaliar a razoabilidade de um resultado numérico na construção de argumentos sobre afirmações quantitativas."
MT,1,5,"H5 - Avaliar propostas de intervenção na realidade utilizando conhecimentos numéricos."
MT,2,6,"H6 - Interpretar a localização e a movimentação de pessoas/objetos no espaço tridimensional e sua representação no espaço bidimensional."
MT,2,7,"H7 - Identificar características de figuras planas ou espaciais."
MT,2,8,"H8 - Resolver situação-problema que envolva conhecimentos geométricos de espaço e forma."
MT,2,9,"H9 - Utilizar conhecimentos geométricos de espaço e forma na seleção de argumentos propostos como solução de problemas do cotidiano."
MT,3,10,"H10 - Identificar relações entre grandezas e unidades de medida."
MT,3,11,"H11 - Utilizar a noção de escalas na leitura de representação de situação do cotidiano."
MT,3,12,"H12 - Resolver situação-problema que envolva medidas de grandezas."
MT,3,13,"H13 - Avaliar o resultado de uma medição na construção de um argumento consistente."
MT,3,14,"H14 - Avaliar proposta de intervenção na realidade utilizando conhecimentos geométricos relacionados a grandezas e medidas."
MT,4,15,"H15 - Identificar a relação de dependência entre grandezas."
MT,4,16,"H16 - Resolver situação-problema envolvendo a variação de grandezas, direta ou inversamente proporcionais."
